id,name.local,name.en,name.slug,code.id,children_count.chiefdom,children_count.section,geo.lat,geo.lon
SL0301,Bo,Bo,bo-sl0301,SL0301,16,108,7.984,-11.702
SL0302,Bonthe,Bonthe,bonthe-sl0302,SL0302,12,78,7.5,-12.149
SL0303,Moyamba,Moyamba,moyamba-sl0303,SL0303,14,142,8.03,-12.391
SL0304,Pujehun,Pujehun,pujehun-sl0304,SL0304,12,94,7.301,-11.535
