id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL030201,Bendu-Cha,Bendu-Cha,bendu-cha-sl030201,SL030201,4,7.47,-12.386
SL030291,Bonthe Urban,Bonthe Urban,bonthe-urban-sl030291,SL030291,1,7.534,-12.519
SL030202,Bum,Bum,bum-sl030202,SL030202,9,7.432,-11.971
SL030203,Dema,Dema,dema-sl030203,SL030203,4,7.589,-12.863
SL030204,Imperri,Imperri,imperri-sl030204,SL030204,6,7.667,-12.36
SL030205,Jong,Jong,jong-sl030205,SL030205,8,7.573,-12.191
SL030206,Kpanda Kemo,Kpanda Kemo,kpanda-kemo-sl030206,SL030206,6,7.597,-12.028
SL030207,Kwamebai Krim,Kwamebai Krim,kwamebai-krim-sl030207,SL030207,7,7.27,-11.987
SL030208,Nongoba Bullom,Nongoba Bullom,nongoba-bullom-sl030208,SL030208,13,7.367,-12.262
SL030209,Sittia,Sittia,sittia-sl030209,SL030209,11,7.514,-12.616
SL030210,Sogbeni,Sogbeni,sogbeni-sl030210,SL030210,4,7.54,-12.095
SL030211,Yawbeko,Yawbeko,yawbeko-sl030211,SL030211,5,7.445,-12.127
