id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL050301,Bureh Kasseh Ma,Bureh Kasseh Ma,bureh-kasseh-ma-sl050301,SL050301,16,8.933,-12.799
SL050302,Kaffu Bullom,Kaffu Bullom,kaffu-bullom-sl050302,SL050302,8,8.617,-13.167
SL050303,Koya,Koya,koya-sl050303,SL050303,20,8.43,-12.864
SL050304,Lokomasama,Lokomasama,lokomasama-sl050304,SL050304,14,8.717,-13.036
SL050305,Maforki,Maforki,maforki-sl050305,SL050305,30,8.725,-12.719
SL050306,Marampa,Marampa,marampa-sl050306,SL050306,18,8.676,-12.564
SL050307,Masimera,Masimera,masimera-sl050307,SL050307,12,8.553,-12.504
SL050308,TMS,TMS,tms-sl050308,SL050308,6,8.825,-12.619
