id,name.local,name.en,name.slug,code.id,children_count.chiefdom,children_count.section,geo.lat,geo.lon
SL0201,Bombali,Bombali,bombali-sl0201,SL0201,9,89,9.103,-12.038
SL0206,Fabala,Fabala,fabala-sl0206,SL0206,5,49,9.466,-11.204
SL0203,Koinadugu,Koinadugu,koinadugu-sl0203,SL0203,6,40,9.33,-11.533
SL0205,Tonkolili,Tonkolili,tonkolili-sl0205,SL0205,11,80,8.762,-11.646
