id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL030401,Barri,Barri,barri-sl030401,SL030401,9,7.479,-11.439
SL030402,Galliness Perri,Galliness Perri,galliness-perri-sl030402,SL030402,13,7.267,-11.56
SL030403,Kpaka,Kpaka,kpaka-sl030403,SL030403,8,7.187,-11.645
SL030405,Makpele,Makpele,makpele-sl030405,SL030405,4,7.306,-11.285
SL030406,Malen,Malen,malen-sl030406,SL030406,9,7.509,-11.808
SL030407,Mono Sakrim,Mono Sakrim,mono-sakrim-sl030407,SL030407,8,7.139,-11.774
SL030404,Panga Kabonde,Panga Kabonde,panga-kabonde-sl030404,SL030404,10,7.402,-11.783
SL030408,Panga krim,Panga krim,panga-krim-sl030408,SL030408,4,7.284,-11.801
SL030409,Pejeh(Futa peje,Pejeh(Futa peje,pejehfuta-peje-sl030409,SL030409,3,7.553,-11.543
SL030410,Soro Gbema,Soro Gbema,soro-gbema-sl030410,SL030410,10,7.115,-11.434
SL030411,Sowa,Sowa,sowa-sl030411,SL030411,4,7.575,-11.658
SL030412,Yakemu Kpukumu,Yakemu Kpukumu,yakemu-kpukumu-sl030412,SL030412,12,7.232,-11.809
