id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL030301,Bagruwa,Bagruwa,bagruwa-sl030301,SL030301,9,7.865,-12.518
SL030302,Bumpeh,Bumpeh,bumpeh-sl030302,SL030302,13,8.148,-12.734
SL030303,Dasse,Dasse,dasse-sl030303,SL030303,13,8.004,-12.151
SL030304,Fakunya,Fakunya,fakunya-sl030304,SL030304,11,8.235,-12.307
SL030305,Kagboro,Kagboro,kagboro-sl030305,SL030305,21,7.916,-12.753
SL030306,Kaiyamba,Kaiyamba,kaiyamba-sl030306,SL030306,7,8.118,-12.368
SL030307,Kamajei,Kamajei,kamajei-sl030307,SL030307,7,8.215,-11.883
SL030308,Kongbora,Kongbora,kongbora-sl030308,SL030308,10,8.161,-12.555
SL030309,Kori,Kori,kori-sl030309,SL030309,7,8.225,-12.088
SL030310,Kowa,Kowa,kowa-sl030310,SL030310,8,8.079,-11.974
SL030311,Lower Banta,Lower Banta,lower-banta-sl030311,SL030311,9,7.865,-12.28
SL030312,Ribbi,Ribbi,ribbi-sl030312,SL030312,10,8.244,-12.865
SL030313,Timdale,Timdale,timdale-sl030313,SL030313,12,7.803,-12.678
SL030314,Upper Banta,Upper Banta,upper-banta-sl030314,SL030314,5,7.737,-12.199
