id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL020501,Gbonkolenken,Gbonkolenken,gbonkolenken-sl020501,SL020501,10,8.482,-11.898
SL020502,Kafe Simiria,Kafe Simiria,kafe-simiria-sl020502,SL020502,7,8.87,-11.774
SL020503,Kalansogoia,Kalansogoia,kalansogoia-sl020503,SL020503,7,9.103,-11.752
SL020504,Kholifa Mabang,Kholifa Mabang,kholifa-mabang-sl020504,SL020504,4,8.534,-12.173
SL020505,Kholifa Rowala,Kholifa Rowala,kholifa-rowala-sl020505,SL020505,7,8.663,-12.014
SL020507,Kunike,Kunike,kunike-sl020507,SL020507,8,8.696,-11.519
SL020506,Kunike Barina,Kunike Barina,kunike-barina-sl020506,SL020506,6,8.588,-11.642
SL020508,Malal Mara,Malal Mara,malal-mara-sl020508,SL020508,8,8.666,-12.258
SL020509,Sambaya,Sambaya,sambaya-sl020509,SL020509,4,9.013,-11.544
SL020510,Tane,Tane,tane-sl020510,SL020510,6,8.672,-11.812
SL020511,Yoni,Yoni,yoni-sl020511,SL020511,13,8.406,-12.319
