id,name.local,name.en,name.slug,code.id,children_count.chiefdom,children_count.section,geo.lat,geo.lon
SL0401,Western Area Rural,Western Area Rural,western-area-rural-sl0401,SL0401,4,22,8.326,-13.061
SL0402,Western Area Urban,Western Area Urban,western-area-urban-sl0402,SL0402,9,65,8.449,-13.176
