id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL020302,Diang,Diang,diang-sl020302,SL020302,6,9.271,-11.555
SL020304,Kasunko,Kasunko,kasunko-sl020304,SL020304,6,9.465,-11.787
SL020307,Nieni,Nieni,nieni-sl020307,SL020307,5,9.055,-11.299
SL020308,Sengbe,Sengbe,sengbe-sl020308,SL020308,5,9.564,-11.452
SL020310,Wara Wara Bafod,Wara Wara Bafod,wara-wara-bafod-sl020310,SL020310,11,9.775,-11.779
SL020311,Wara Wara Yagal,Wara Wara Yagal,wara-wara-yagal-sl020311,SL020311,7,9.55,-11.627
