id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL010301,Fiama,Fiama,fiama-sl010301,SL010301,5,8.656,-10.825
SL010302,Gbane,Gbane,gbane-sl010302,SL010302,5,8.475,-10.854
SL010303,Gbane Kandor,Gbane Kandor,gbane-kandor-sl010303,SL010303,5,8.64,-10.566
SL010304,Gbense,Gbense,gbense-sl010304,SL010304,5,8.722,-10.917
SL010305,Gorama Kono,Gorama Kono,gorama-kono-sl010305,SL010305,3,8.394,-11.087
SL010306,Kamara,Kamara,kamara-sl010306,SL010306,4,8.714,-11.034
SL010391,Koidu Town,Koidu Town,koidu-town-sl010391,SL010391,7,8.636,-10.981
SL010307,Lei,Lei,lei-sl010307,SL010307,9,8.833,-10.687
SL010308,Mafindor,Mafindor,mafindor-sl010308,SL010308,3,8.687,-10.51
SL010309,Nimikoro,Nimikoro,nimikoro-sl010309,SL010309,5,8.581,-11.101
SL010310,Nimiyama,Nimiyama,nimiyama-sl010310,SL010310,5,8.576,-11.272
SL010311,Sandor,Sandor,sandor-sl010311,SL010311,10,8.87,-11.035
SL010312,Soa,Soa,soa-sl010312,SL010312,8,8.591,-10.692
SL010313,Tankoro,Tankoro,tankoro-sl010313,SL010313,3,8.54,-10.961
SL010314,Toli,Toli,toli-sl010314,SL010314,3,8.994,-10.636
