# Data from Open Admin Data (https://openadmindata.org/sl/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/sierra-leone-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.chiefdom,children_count.section,zip_codes,geo.lat,geo.lon,source_url
SL01,1,Province,Province,Eastern,Eastern,eastern-sl01,SL01,,,,,,3,46,265,,8.209,-10.845,https://openadmindata.org/sl/provinces/eastern-sl01/
SL0101,2,District,District,Kailahun,Kailahun,kailahun-sl0101,SL0101,,SL01,Eastern,Eastern,,,14,81,,8.059,-10.765,
SL010101,3,Chiefdom,Chiefdom,Dea,Dea,dea-sl010101,SL010101,,SL0101,Kailahun,Kailahun,,,,4,,7.953,-10.649,
SL010102,3,Chiefdom,Chiefdom,Jawie,Jawie,jawie-sl010102,SL010102,,SL0101,Kailahun,Kailahun,,,,8,,7.894,-10.895,
SL010103,3,Chiefdom,Chiefdom,Kissi Kama,Kissi Kama,kissi-kama-sl010103,SL010103,,SL0101,Kailahun,Kailahun,,,,3,,8.411,-10.403,
SL010104,3,Chiefdom,Chiefdom,Kissi Teng,Kissi Teng,kissi-teng-sl010104,SL010104,,SL0101,Kailahun,Kailahun,,,,5,,8.388,-10.353,
SL010105,3,Chiefdom,Chiefdom,Kissi Tongi,Kissi Tongi,kissi-tongi-sl010105,SL010105,,SL0101,Kailahun,Kailahun,,,,4,,8.307,-10.338,
SL010106,3,Chiefdom,Chiefdom,Kpeje Bongre,Kpeje Bongre,kpeje-bongre-sl010106,SL010106,,SL0101,Kailahun,Kailahun,,,,7,,8.145,-10.779,
SL010107,3,Chiefdom,Chiefdom,Kpeje West,Kpeje West,kpeje-west-sl010107,SL010107,,SL0101,Kailahun,Kailahun,,,,4,,8.192,-10.838,
SL010108,3,Chiefdom,Chiefdom,Luawa,Luawa,luawa-sl010108,SL010108,,SL0101,Kailahun,Kailahun,,,,10,,8.207,-10.56,
SL010109,3,Chiefdom,Chiefdom,Malema,Malema,malema-sl010109,SL010109,,SL0101,Kailahun,Kailahun,,,,5,,7.777,-10.752,
SL010110,3,Chiefdom,Chiefdom,Mandu,Mandu,mandu-sl010110,SL010110,,SL0101,Kailahun,Kailahun,,,,4,,7.986,-10.748,
SL010111,3,Chiefdom,Chiefdom,Njaluahun,Njaluahun,njaluahun-sl010111,SL010111,,SL0101,Kailahun,Kailahun,,,,12,,8.008,-10.907,
SL010112,3,Chiefdom,Chiefdom,Penguia,Penguia,penguia-sl010112,SL010112,,SL0101,Kailahun,Kailahun,,,,5,,8.358,-10.729,
SL010113,3,Chiefdom,Chiefdom,Upper Bambara,Upper Bambara,upper-bambara-sl010113,SL010113,,SL0101,Kailahun,Kailahun,,,,6,,8.073,-10.674,
SL010114,3,Chiefdom,Chiefdom,Yawei,Yawei,yawei-sl010114,SL010114,,SL0101,Kailahun,Kailahun,,,,4,,8.327,-10.821,
SL0102,2,District,District,Kenema,Kenema,kenema-sl0102,SL0102,,SL01,Eastern,Eastern,,,17,104,,7.946,-11.191,
SL010201,3,Chiefdom,Chiefdom,Dama,Dama,dama-sl010201,SL010201,,SL0102,Kenema,Kenema,,,,7,,7.757,-11.146,
SL010202,3,Chiefdom,Chiefdom,Dodo,Dodo,dodo-sl010202,SL010202,,SL0102,Kenema,Kenema,,,,7,,8.205,-11.209,
SL010203,3,Chiefdom,Chiefdom,Gaura,Gaura,gaura-sl010203,SL010203,,SL0102,Kenema,Kenema,,,,6,,7.71,-10.999,
SL010204,3,Chiefdom,Chiefdom,Gorama Mende,Gorama Mende,gorama-mende-sl010204,SL010204,,SL0102,Kenema,Kenema,,,,4,,8.44,-11.4,
SL010205,3,Chiefdom,Chiefdom,Kandu Leppiama,Kandu Leppiama,kandu-leppiama-sl010205,SL010205,,SL0102,Kenema,Kenema,,,,4,,8.039,-11.274,
SL010206,3,Chiefdom,Chiefdom,Koya,Koya,koya-sl010206,SL010206,,SL0102,Kenema,Kenema,,,,5,,7.632,-11.292,
SL010207,3,Chiefdom,Chiefdom,Langrama,Langrama,langrama-sl010207,SL010207,,SL0102,Kenema,Kenema,,,,2,,7.667,-11.477,
