id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL010101,Dea,Dea,dea-sl010101,SL010101,4,7.953,-10.649
SL010102,Jawie,Jawie,jawie-sl010102,SL010102,8,7.894,-10.895
SL010103,Kissi Kama,Kissi Kama,kissi-kama-sl010103,SL010103,3,8.411,-10.403
SL010104,Kissi Teng,Kissi Teng,kissi-teng-sl010104,SL010104,5,8.388,-10.353
SL010105,Kissi Tongi,Kissi Tongi,kissi-tongi-sl010105,SL010105,4,8.307,-10.338
SL010106,Kpeje Bongre,Kpeje Bongre,kpeje-bongre-sl010106,SL010106,7,8.145,-10.779
SL010107,Kpeje West,Kpeje West,kpeje-west-sl010107,SL010107,4,8.192,-10.838
SL010108,Luawa,Luawa,luawa-sl010108,SL010108,10,8.207,-10.56
SL010109,Malema,Malema,malema-sl010109,SL010109,5,7.777,-10.752
SL010110,Mandu,Mandu,mandu-sl010110,SL010110,4,7.986,-10.748
SL010111,Njaluahun,Njaluahun,njaluahun-sl010111,SL010111,12,8.008,-10.907
SL010112,Penguia,Penguia,penguia-sl010112,SL010112,5,8.358,-10.729
SL010113,Upper Bambara,Upper Bambara,upper-bambara-sl010113,SL010113,6,8.073,-10.674
SL010114,Yawei,Yawei,yawei-sl010114,SL010114,4,8.327,-10.821
