id,name.local,name.en,name.slug,code.id,children_count.section,geo.lat,geo.lon
SL030101,Badjia,Badjia,badjia-sl030101,SL030101,5,8.092,-11.4
SL030102,Bagbo,Bagbo,bagbo-sl030102,SL030102,7,7.598,-11.866
SL030103,Bagbwe(Bagbe),Bagbwe(Bagbe),bagbwebagbe-sl030103,SL030103,5,8.085,-11.539
SL030191,Bo Town,Bo Town,bo-town-sl030191,SL030191,17,7.96,-11.733
SL030104,Boama,Boama,boama-sl030104,SL030104,8,7.939,-11.479
SL030105,Bumpe Ngao,Bumpe Ngao,bumpe-ngao-sl030105,SL030105,10,7.832,-12.008
SL030106,Gbo,Gbo,gbo-sl030106,SL030106,3,8.068,-11.847
SL030107,Jaiama Bongor,Jaiama Bongor,jaiama-bongor-sl030107,SL030107,8,7.759,-11.615
SL030108,Kakua,Kakua,kakua-sl030108,SL030108,8,7.965,-11.634
SL030109,Komboya,Komboya,komboya-sl030109,SL030109,5,8.254,-11.508
SL030110,Lugbu,Lugbu,lugbu-sl030110,SL030110,6,7.69,-11.875
SL030111,Niawa Lenga,Niawa Lenga,niawa-lenga-sl030111,SL030111,4,8.147,-11.614
SL030112,Selenga,Selenga,selenga-sl030112,SL030112,3,8.108,-11.723
SL030113,Tikonko,Tikonko,tikonko-sl030113,SL030113,8,7.857,-11.758
SL030114,Valunia,Valunia,valunia-sl030114,SL030114,7,8.313,-11.67
SL030115,Wonde,Wonde,wonde-sl030115,SL030115,4,7.685,-11.549
