id,name.local,name.en,name.slug,code.id,children_count.chiefdom,children_count.section,geo.lat,geo.lon
SL0101,Kailahun,Kailahun,kailahun-sl0101,SL0101,14,81,8.059,-10.765
SL0102,Kenema,Kenema,kenema-sl0102,SL0102,17,104,7.946,-11.191
SL0103,Kono,Kono,kono-sl0103,SL0103,15,80,8.706,-10.922
